waypoint_id,x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag,traffic_light_detection,target_traffic_light_camera,start,goal,stop_point,detection_range_front_l,detection_range_front_r,detection_range_rear_l,detection_range_rear_r,fatal_area_left,fatal_area_right,cargo_left,cargo_right,obstacle_detection_distance_change,winker_point,obstacle_sensor_range,mode_change,attention_broadcast,inter_vehicular_distance,minimum_target_point_distance,target_point_ratio,voxel_leaf_size,local_max_slope,preliminary_output,route_change,pause_point,pause_time,cross_point,cross_point_detection_area_left,cross_point_detection_area_right,cross_point_detection_area_front,cross_point_detection_area_back,object_detection_intersect,vehicle_waypoint_distance
1,94576.2109,78089.1875,35.677,-0.2285,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
2,94576.8047,78089.0703,35.6594,-0.2309,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
3,94577.3516,78088.9062,35.6696,-0.2314,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
4,94577.8516,78088.7422,35.7144,-0.2308,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
5,94578.4375,78088.625,35.6468,-0.2297,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
6,94578.9609,78088.5,35.6,-0.2296,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
7,94579.4844,78088.3438,35.6444,-0.2308,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
8,94580.0391,78088.2109,35.6723,-0.2316,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
9,94580.5312,78088.0938,35.6334,-0.2325,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
10,94581.0312,78087.9453,35.669,-0.2346,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,1,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
11,94581.5859,78087.7891,35.6478,-0.2355,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,1,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
12,94582.0781,78087.6641,35.6387,-0.2326,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,1,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
13,94582.6328,78087.5312,35.6896,-0.2351,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,1,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
14,94583.1719,78087.3906,35.7025,-0.2352,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,1,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
15,94583.6641,78087.2422,35.7157,-0.2284,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,1,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
16,94584.1562,78087.1328,35.6963,-0.1785,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,3,1,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
17,94584.7188,78087.0547,35.7314,1.3,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,3,1,13,1,0,0,1.75,1.75,0,0,0,0,1,5,0,0,0,0,0,0,1.5
18,94585.2422,78087.0312,35.6931,0.0115,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,3,1,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
19,94585.7812,78087.0469,35.7041,0.081,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,3,1,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
20,94586.3672,78087.1016,35.6695,0.1375,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,3,1,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
21,94586.9062,78087.1875,35.6788,0.1719,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,3,1,13,1,0,0,1.75,1.75,0,0,0,0,0,0,1,10,10,2.5,0,0,1.5
22,94587.4688,78087.2422,35.7067,0.1923,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,3,1,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
23,94588,78087.3438,35.6675,0.2049,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,3,1,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
24,94588.6016,78087.4609,35.7017,0.2154,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,3,1,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
25,94589.1641,78087.5859,35.6735,0.2173,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,3,1,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
26,94589.7031,78087.6875,35.6871,0.2117,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,1.5,1,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
27,94590.2969,78087.7734,35.6857,0.1928,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,1.5,1,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
28,94590.8516,78087.8672,35.6964,0.1647,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,1.5,1,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
29,94591.3594,78087.9453,35.6952,0.1283,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,1.5,1,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
30,94591.9062,78087.9844,35.7078,0.0791,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,1.5,1,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
31,94592.4844,78088.0078,35.7379,0.0218,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,1.5,1,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
32,94593.0547,78087.9766,35.7106,-0.0341,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,1.5,1,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
33,94593.6328,78087.9219,35.7416,-0.079,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,1.5,1,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
34,94594.1719,78087.8516,35.7397,-0.11,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,1.5,1,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
35,94594.6875,78087.7812,35.7547,-0.1278,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,2,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
36,94595.1875,78087.6875,35.7441,-0.1457,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,2,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
